Nom,Type,Métier,Zone,Statut,Priorité,Téléphone,Email,Site actuel,Techno,Date contact,Date réponse,Canal,Réponse,Tags,Dossier,Fichier
CHAUFFAGE DES CHARTRONS C.D.C,Artisan,Chauffagiste,Bordeaux,à_contacter,basse,06 67 44 22 43,cdcchartrons@gmail.com,,N/A,,,,,"prospect, vague2, sans-site, chauffagiste",Artisans/Bordeaux,Artisans/Bordeaux/Bordeaux_Chauffagiste_CHAUFFAGE_DES_CHARTRONS_CDC.md
Cabinet Lassort Avocat,Artisan,Avocat,Bordeaux,à_contacter,basse,05 47 74 93 92,contact@lassort-avocat.fr,lassort-avocat.fr,Autre,,,,,"prospect, vague2, refonte, avocat",Artisans/Bordeaux,Artisans/Bordeaux/Bordeaux_Avocat_Cabinet_Lassort_Avocat.md
Cabinet kiné ostéo Nasse-Ferry-Amevet,Artisan,Service,Bordeaux,à_contacter,basse,05 56 48 15 03,,nasse-ferry-amevet-kines.fr,Autre,,,,,"prospect, vague2, refonte, service",Artisans/Bordeaux,Artisans/Bordeaux/Bordeaux_Service_Cabinet_kine_osteo_Nasse_Ferry_Amevet.md
Cilicie le restaurant,Artisan,Restaurant,Bordeaux,à_contacter,basse,09 52 40 76 41,,,N/A,,,,,"prospect, vague2, sans-site, restaurant",Artisans/Bordeaux,Artisans/Bordeaux/Bordeaux_Restaurant_Cilicie_le_restaurant.md
Coiffure Masculine Barbier Sassano Nicolas,Artisan,Barbier,Bordeaux,à_contacter,basse,05 56 98 50 57,,,N/A,,,,,"prospect, vague2, sans-site, barbier",Artisans/Bordeaux,Artisans/Bordeaux/Bordeaux_Barbier_Coiffure_Masculine_Barbier_Sassano_Nicolas.md
Cornaglia SARL D.,Artisan,Plombier,Bordeaux,à_contacter,basse,05 56 96 47 33,,cornaglia-elec.com,Autre,,,,,"prospect, refonte, plombier",Artisans/Bordeaux,Artisans/Bordeaux/Bordeaux_Plombier_Cornaglia_SARL_D.md
Cécile Labonne Photographe,Artisan,Service,Bordeaux,à_contacter,basse,06 62 83 67 91,cecilelabonne@gmail.com,labonnephotographe.com,Autre,,,,,"prospect, vague2, refonte, service",Artisans/Bordeaux,Artisans/Bordeaux/Bordeaux_Service_Cecile_Labonne_Photographe.md
Dock des Épices,Artisan,Service,Bordeaux,à_contacter,basse,05 56 44 41 57,,,N/A,,,,,"prospect, vague2, sans-site, service",Artisans/Bordeaux,Artisans/Bordeaux/Bordeaux_Service_Dock_des_Epices.md
Drai Antiquités,Artisan,Service,Bordeaux,à_contacter,basse,05 56 48 53 22,,Proantic,Autre,,,,,"prospect, vague2, refonte, service",Artisans/Bordeaux,Artisans/Bordeaux/Bordeaux_Service_Drai_Antiquites.md
E.F.P.S.,Artisan,Plombier,Bordeaux,à_contacter,basse,06 27 10 81 13,efps.plomberie@gmail.com,,N/A,,,,,"prospect, vague2, sans-site, plombier",Artisans/Bordeaux,Artisans/Bordeaux/Bordeaux_Plombier_EFPS.md
Espace Antiquités Tallec,Artisan,Service,Bordeaux,à_contacter,basse,05 56 01 12 59,,,N/A,,,,,"prospect, vague2, sans-site, service",Artisans/Bordeaux,Artisans/Bordeaux/Bordeaux_Service_Espace_Antiquites_Tallec.md
Esprit Tendance,Artisan,Coiffeur,Bordeaux,à_contacter,basse,05 56 96 42 97,,,N/A,,,,,"prospect, vague2, sans-site, coiffeur",Artisans/Bordeaux,Artisans/Bordeaux/Bordeaux_Coiffeur_Esprit_Tendance.md
Etude Charrier-Betous Notaires,Artisan,Notaire,Bordeaux,à_contacter,basse,05 64 31 09 60,,,N/A,,,,,"prospect, vague2, sans-site, notaire",Artisans/Bordeaux,Artisans/Bordeaux/Bordeaux_Notaire_Etude_Charrier_Betous_Notaires.md
FROID CONTEND',Artisan,Climatisation,Bordeaux,à_contacter,basse,06 44 00 03 11,froidcontend@gmail.com,,N/A,,,,,"prospect, vague2, sans-site, climatisation",Artisans/Bordeaux,Artisans/Bordeaux/Bordeaux_Climatisation_FROID_CONTEND.md
GT SERRURERIE,Artisan,Serrurier,Bordeaux,à_contacter,basse,07 69 62 46 61,,Wix,Wix,,,,,"prospect, vague2, refonte, serrurier",Artisans/Bordeaux,Artisans/Bordeaux/Bordeaux_Serrurier_GT_SERRURERIE.md
HUGO CHAMARD - PLOMBERIE,Artisan,Plombier,Bordeaux,à_contacter,basse,06 26 38 66 26,,,N/A,,,,,"prospect, vague2, sans-site, plombier",Artisans/Bordeaux,Artisans/Bordeaux/Bordeaux_Plombier_HUGO_CHAMARD_PLOMBERIE.md
Haircut Fashion Hair,Artisan,Service,Bordeaux,à_contacter,basse,07 82 87 75 19,,,N/A,,,,,"prospect, vague2, sans-site, service",Artisans/Bordeaux,Artisans/Bordeaux/Bordeaux_Service_Haircut_Fashion_Hair.md
IDS ENERGIES,Artisan,Service,Bordeaux,à_contacter,basse,06 98 01 94 19,idsenergies@gmail.com,,N/A,,,,,"prospect, vague2, sans-site, service",Artisans/Bordeaux,Artisans/Bordeaux/Bordeaux_Service_IDS_ENERGIES.md
ISOLASUR,Artisan,Isolation,Bordeaux,à_contacter,basse,06 64 44 49 42,isolasur@gmail.com,,N/A,,,,,"prospect, vague2, sans-site, isolation",Artisans/Bordeaux,Artisans/Bordeaux/Bordeaux_Isolation_ISOLASUR.md
Jardin d'Echoppe Paysagiste,Artisan,Paysagiste,Bordeaux,à_contacter,basse,05 64 37 59 58,contact@jardindechoppe.fr,jardindechoppe.fr,Autre,,,,,"prospect, vague2, refonte, paysagiste",Artisans/Bordeaux,Artisans/Bordeaux/Bordeaux_Paysagiste_Jardin_dEchoppe_Paysagiste.md
Kingdom Barber 33,Artisan,Service,Bordeaux,à_contacter,basse,09 83 56 73 32,,,N/A,,,,,"prospect, vague2, sans-site, service",Artisans/Bordeaux,Artisans/Bordeaux/Bordeaux_Service_Kingdom_Barber_33.md
L'Epicerie 56,Artisan,Service,Bordeaux,à_contacter,basse,09 81 10 00 21,,,N/A,,,,,"prospect, vague2, sans-site, service",Artisans/Bordeaux,Artisans/Bordeaux/Bordeaux_Service_LEpicerie_56.md
L'insolent Barbershop,Artisan,Service,Bordeaux,à_contacter,basse,06 68 68 91 05,,,N/A,,,,,"prospect, vague2, sans-site, service",Artisans/Bordeaux,Artisans/Bordeaux/Bordeaux_Service_Linsolent_Barbershop.md
LA COMPAGNIE DES RAMONEURS,Artisan,Service,Bordeaux,à_contacter,basse,07 89 00 61 38,laramoneurs@gmail.com,,N/A,,,,,"prospect, vague2, sans-site, service",Artisans/Bordeaux,Artisans/Bordeaux/Bordeaux_Service_LA_COMPAGNIE_DES_RAMONEURS.md
La Maison Des Barbers,Artisan,Service,Bordeaux,à_contacter,basse,05 44 49 48 36,,,N/A,,,,,"prospect, vague2, sans-site, service",Artisans/Bordeaux,Artisans/Bordeaux/Bordeaux_Service_La_Maison_Des_Barbers.md
Laborie Eric Notaire,Artisan,Notaire,Bordeaux,à_contacter,basse,05 56 31 44 65,,,N/A,,,,,"prospect, vague2, sans-site, notaire",Artisans/Bordeaux,Artisans/Bordeaux/Bordeaux_Notaire_Laborie_Eric_Notaire.md
Lasserre Véronique Notaire,Artisan,Notaire,Bordeaux,à_contacter,basse,05 56 48 09 16,,,N/A,,,,,"prospect, vague2, sans-site, notaire",Artisans/Bordeaux,Artisans/Bordeaux/Bordeaux_Notaire_Lasserre_Veronique_Notaire.md
Le Bouif Cordonnerie,Artisan,Cordonnier,Bordeaux,à_contacter,basse,05 56 52 54 03,,,N/A,,,,,"prospect, vague2, sans-site, cordonnier",Artisans/Bordeaux,Artisans/Bordeaux/Bordeaux_Cordonnier_Le_Bouif_Cordonnerie.md
Le Garçon Boucher,Artisan,Service,Bordeaux,à_contacter,basse,05 54 78 68 30,contact@legarconboucher.fr,legarconboucher.fr (marketplace),Autre,,,,,"prospect, vague2, refonte, service",Artisans/Bordeaux,Artisans/Bordeaux/Bordeaux_Service_Le_Garcon_Boucher.md
Le Passage Notre Dame,Artisan,Service,Bordeaux,à_contacter,basse,05 56 44 02 66,,,N/A,,,,,"prospect, vague2, sans-site, service",Artisans/Bordeaux,Artisans/Bordeaux/Bordeaux_Service_Le_Passage_Notre_Dame.md
Le Pressensé,Artisan,Service,Bordeaux,à_contacter,basse,05 56 91 85 25,,,N/A,,,,,"prospect, vague2, sans-site, service",Artisans/Bordeaux,Artisans/Bordeaux/Bordeaux_Service_Le_Pressense.md
MICKAEL BLANC SERRURIER,Artisan,Serrurier,Bordeaux,à_contacter,basse,06 66 11 79 32,mickaelblanc33@gmail.com,serrurier-bordeaux-depannage.com,Autre,,,,,"prospect, vague2, refonte, serrurier",Artisans/Bordeaux,Artisans/Bordeaux/Bordeaux_Serrurier_MICKAEL_BLANC_SERRURIER.md
MON ELECTRICIEN A VELO,Artisan,Électricien,Bordeaux,à_contacter,basse,06 65 16 76 21,contact@electricien-velo-bordeaux.fr,electricien-velo-bordeaux.fr,Autre,,,,,"prospect, vague2, refonte, électricien",Artisans/Bordeaux,Artisans/Bordeaux/Bordeaux_Électricien_MON_ELECTRICIEN_A_VELO.md
Maître Sophie Pasturaud Avocat,Artisan,Avocat,Bordeaux,à_contacter,basse,05 56 48 56 93,spasturaud@pasturaudavocat.fr,maîtresophiepasturaud.com,Autre,,,,,"prospect, vague2, refonte, avocat",Artisans/Bordeaux,Artisans/Bordeaux/Bordeaux_Avocat_Maitre_Sophie_Pasturaud_Avocat.md
Maître Valérie LEMBEZAT RÉAL Avocat,Artisan,Avocat,Bordeaux,à_contacter,basse,05 56 48 12 54,v.lembezat.avocat@wanadoo.fr,avocat-bordeaux-lembezatreal.fr,Autre,,,,,"prospect, vague2, refonte, avocat",Artisans/Bordeaux,Artisans/Bordeaux/Bordeaux_Avocat_Maitre_Valerie_LEMBEZAT_REAL_Avocat.md
Mokoji Grill,Artisan,Service,Bordeaux,à_contacter,basse,09 83 67 09 85,,,N/A,,,,,"prospect, vague2, sans-site, service",Artisans/Bordeaux,Artisans/Bordeaux/Bordeaux_Service_Mokoji_Grill.md
PENA SERRURERIE,Artisan,Serrurier,Bordeaux,à_contacter,basse,05 56 94 76 39,,pena-serrurerie.com,Autre,,,,,"prospect, vague2, refonte, serrurier",Artisans/Bordeaux,Artisans/Bordeaux/Bordeaux_Serrurier_PENA_SERRURERIE.md
PLOMBERIE LAURENT VIAUD,Artisan,Plombier,Bordeaux,à_contacter,basse,06 80 06 99 06,,,N/A,,,,,"prospect, vague2, sans-site, plombier",Artisans/Bordeaux,Artisans/Bordeaux/Bordeaux_Plombier_PLOMBERIE_LAURENT_VIAUD.md
Pascal Rousse Photographe,Artisan,Service,Bordeaux,à_contacter,basse,06 77 23 27 16,contact@pascalrousse.fr,Jimdo,Autre,,,,,"prospect, vague2, refonte, service",Artisans/Bordeaux,Artisans/Bordeaux/Bordeaux_Service_Pascal_Rousse_Photographe.md
Pipat Antiquités,Artisan,Service,Bordeaux,à_contacter,basse,05 56 51 98 82,,,N/A,,,,,"prospect, vague2, sans-site, service",Artisans/Bordeaux,Artisans/Bordeaux/Bordeaux_Service_Pipat_Antiquites.md
Pressing Doumer,Artisan,Pressing,Bordeaux,à_contacter,basse,05 56 52 70 64,,,N/A,,,,,"prospect, vague2, sans-site, pressing",Artisans/Bordeaux,Artisans/Bordeaux/Bordeaux_Pressing_Pressing_Doumer.md
Rapid Pressing,Artisan,Pressing,Bordeaux,à_contacter,basse,05 56 92 58 49,,,N/A,,,,,"prospect, vague2, sans-site, pressing",Artisans/Bordeaux,Artisans/Bordeaux/Bordeaux_Pressing_Rapid_Pressing.md
Rouzet Yann Notaire,Artisan,Notaire,Bordeaux,à_contacter,basse,05 56 44 00 60,,,N/A,,,,,"prospect, vague2, sans-site, notaire",Artisans/Bordeaux,Artisans/Bordeaux/Bordeaux_Notaire_Rouzet_Yann_Notaire.md
SAEZ THERMIQUE ET SANITAIRE,Artisan,Plombier,Bordeaux,à_contacter,basse,07 54 48 67 01,saezthermique@gmail.com,,N/A,,,,,"prospect, vague2, sans-site, plombier",Artisans/Bordeaux,Artisans/Bordeaux/Bordeaux_Plombier_SAEZ_THERMIQUE_ET_SANITAIRE.md
Solans Fanny Notaire,Artisan,Notaire,Bordeaux,à_contacter,basse,05 56 48 95 48,,,N/A,,,,,"prospect, vague2, sans-site, notaire",Artisans/Bordeaux,Artisans/Bordeaux/Bordeaux_Notaire_Solans_Fanny_Notaire.md
THOMAS SANGOUARD,Artisan,Plombier,Bordeaux,à_contacter,basse,06 65 05 85 97,thomas.sangouard@gmail.com,,N/A,,,,,"prospect, vague2, sans-site, plombier",Artisans/Bordeaux,Artisans/Bordeaux/Bordeaux_Plombier_THOMAS_SANGOUARD.md
Teinturerie Gambetta (Secapress),Artisan,Pressing,Bordeaux,à_contacter,basse,05 56 44 24 39,,,N/A,,,,,"prospect, vague2, sans-site, pressing",Artisans/Bordeaux,Artisans/Bordeaux/Bordeaux_Pressing_Teinturerie_Gambetta_Secapress.md
Toilettage Mobile Bordeaux,Artisan,Toiletteur,Bordeaux,à_contacter,basse,09 80 80 84 42,,toilettage-mobile-bordeaux.fr,Autre,,,,,"prospect, vague2, refonte, toiletteur",Artisans/Bordeaux,Artisans/Bordeaux/Bordeaux_Toiletteur_Toilettage_Mobile_Bordeaux.md
VOLENNA,Artisan,Service,Bordeaux,à_contacter,basse,06 12 29 36 49,volenna@gmail.com,,N/A,,,,,"prospect, vague2, sans-site, service",Artisans/Bordeaux,Artisans/Bordeaux/Bordeaux_Service_VOLENNA.md
Yaigre Notaires Associés,Artisan,Notaire,Bordeaux,à_contacter,basse,05 56 00 88 11,,,N/A,,,,,"prospect, vague2, sans-site, notaire",Artisans/Bordeaux,Artisans/Bordeaux/Bordeaux_Notaire_Yaigre_Notaires_Associes.md
Yako,Artisan,Service,Bordeaux,à_contacter,basse,05 56 81 72 39,,,N/A,,,,,"prospect, vague2, sans-site, service",Artisans/Bordeaux,Artisans/Bordeaux/Bordeaux_Service_Yako.md
BASSE Etablissements Sabron et Fils,Artisan,Plâtrier,Bordeaux / Bruges,à_contacter,basse,05 57 87 07 59,Non trouvé,,N/A,,,,,"prospect, sans-site, plâtrier",Artisans/Bordeaux_Bruges,Artisans/Bordeaux_Bruges/Bordeaux_Bruges_Plâtrier_BASSE_Etablissements_Sabron_et_Fils.md
Etablissements Sabron et Fils,Artisan,Plâtrier,Bordeaux / Bruges,à_contacter,basse,05 57 87 07 59,,,N/A,,,,,"prospect, sans-site, plâtrier",Artisans/Bordeaux_Bruges,Artisans/Bordeaux_Bruges/Bordeaux_Bruges_Plâtrier_Etablissements_Sabron_et_Fils.md
Fournil de l'Univers,Restauration,Boulangerie,Cenon,à_contacter,basse,,,,N/A,,,,,"prospect, sans-site, boulangerie",Fast-Food/Cenon,Fast-Food/Cenon/Cenon_Boulangerie_Fournil_de_lUnivers.md
La Cassagne,Restauration,Boulangerie,Cenon,à_contacter,basse,,,,N/A,,,,,"prospect, sans-site, boulangerie",Fast-Food/Cenon,Fast-Food/Cenon/Cenon_Boulangerie_La_Cassagne.md
JRM Services,Artisan,Rénovation,Floirac,à_contacter,basse,05 40 25 15 07,contact@jrmservices.fr,jrmservices.fr,Autre,,,,,"prospect, refonte, rénovation",Artisans/Floirac,Artisans/Floirac/Floirac_Rénovation_JRM_Services.md
BALDO MA Peinture,Artisan,Peintre,Talence,à_contacter,basse,,,,N/A,,,,,"prospect, sans-site, peintre",Artisans/Talence,Artisans/Talence/Talence_Peintre_BALDO_MA_Peinture.md
